ID.PRO,NOT,VOL,FOL,DIA,MES,AÑO,LUGAR,ESCRIBANO,TIPO
1V11F565V,1,11,565V,8,4,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F566R,1,11,566R-566V,8,4,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F567R,1,11,567R-567V,9,4,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F568R,1,11,568R-568V,10,4,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F569R,1,11,569R,11,4,1580,SANTAFE,LUIS LOPEZ CARVAJAL,PODER
1V11F569V,1,11,569V-570R,11,4,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F570V,1,11,570V,11,4,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F571R,1,11,571R,15,4,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F571V,1,11,571V-572R,16,4,1580,SANTAFE,LUIS LOPEZ CARVAJAL,PODER
1V11F572V,1,11,572V-573R,18,4,1580,SANTAFE,LUIS LOPEZ CARVAJAL,VENTA
1V11F573V,1,11,573V,18,4,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F574R,1,11,574R,18,4,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ASIENTO
1V11F574V,1,11,574V,18,4,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ASIENTO
1V11F575R,1,11,575R,18,4,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ASIENTO
1V11F575V,1,11,575V,19,4,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F576R,1,11,576R-576V,22,4,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F578R,1,11,578R-578V,26,4,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F579R,1,11,579R,26,4,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ASIENTO
1V11F579V,1,11,579V,27,4,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ARRENDAMIENTO
1V11F580R,1,11,580R-580V,29,4,1580,SANTAFE,LUIS LOPEZ CARVAJAL,PODER
1V11F581R,1,11,581R,4,5,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F581V,1,11,581V,4,5,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F582R,1,11,582R,6,5,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ARRENDAMIENTO
1V11F582V,1,11,582V,10,5,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F583R,1,11,583R-583V,11,5,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F584R,1,11,584R-584V,5,5,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F586R,1,11,586R,12,5,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F586V,1,11,586V,13,5,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F587R,1,11,587R-587V,16,5,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ARRENDAMIENTO
1V11F588R,1,11,588R-588V,19,5,1580,SANTAFE,LUIS LOPEZ CARVAJAL,PODER
1V11F589R,1,11,589R,19,5,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ARRENDAMIENTO
1V11F590R,1,11,590R,20,5,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F590V,1,11,590V,21,5,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ASIENTO
1V11F591R,1,11,591R-591V,24,5,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F592R,1,11,592R-592V,2,6,1580,SANTAFE,LUIS LOPEZ CARVAJAL,CONCIERTO
1V11F593R,1,11,593R-593V,3,6,1580,SANTAFE,LUIS LOPEZ CARVAJAL,PODER
1V11F594R,1,11,594R-594V,3,6,1580,SANTAFE,LUIS LOPEZ CARVAJAL,PODER
1V11F595R,1,11,595R-595V,9,6,1580,SANTAFE,LUIS LOPEZ CARVAJAL,PODER
1V11F596R,1,11,596R,9,6,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F596V,1,11,596V,10,6,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ARRENDAMIENTO
1V11F597R,1,11,597R-599R,13,6,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ASIENTO
1V11F599V,1,11,599V,13,6,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ASIENTO
1V11F600R,1,11,600R,10,6,1580,SANTAFE,LUIS LOPEZ CARVAJAL,PODER
1V11F601R,1,11,601R,20,6,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F601V,1,11,601V,20,6,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F602R,1,11,602R-602V,23,6,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F603R,1,11,603R-603V,21,6,1580,SANTAFE,LUIS LOPEZ CARVAJAL,PODER
1V11F604R,1,11,604R-604V,25,6,1580,SANTAFE,LUIS LOPEZ CARVAJAL,VENTA
1V11F605R,1,11,605R-605V,28,6,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ARRENDAMIENTO
1V11F606R,1,11,606R-606V,28,6,1580,SANTAFE,LUIS LOPEZ CARVAJAL,VENTA
1V11F607R,1,11,607R-607V,25,6,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F608R,1,11,608R,28,6,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F608V,1,11,608V-609R,28,6,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F609V,1,11,609V-610R,28,6,1580,SANTAFE,LUIS LOPEZ CARVAJAL,PODER
1V11F610V,1,11,610V,28,6,1580,SANTAFE,LUIS LOPEZ CARVAJAL,CONCIERTO
1V11F611R,1,11,611R,2,7,1580,SANTAFE,LUIS LOPEZ CARVAJAL,PODER
1V11F611V,1,11,611V,6,7,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ASIENTO
1V11F612R,1,11,612R,6,7,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F612V,1,11,612V,6,7,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F613R,1,11,613R,7,7,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F613V,1,11,613V-614R,7,7,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F614V,1,11,614V,8,7,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ARRENDAMIENTO
1V11F615R,1,11,615R-617R,9,7,1580,SANTAFE,LUIS LOPEZ CARVAJAL,CARTA DE LASTO
1V11F617V,1,11,617V,9,7,1580,SANTAFE,LUIS LOPEZ CARVAJAL,PODER
1V11F618R,1,11,618R-618V,9,7,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F619R,1,11,619R-619V,11,7,1580,SANTAFE,LUIS LOPEZ CARVAJAL,VENTA
1V11F620R,1,11,620R-620V,12,7,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F621R,1,11,621R-621V,12,7,1580,SANTAFE,LUIS LOPEZ CARVAJAL,PODER
1V11F622R,1,11,622R,13,7,1580,SANTAFE,LUIS LOPEZ CARVAJAL,CONCIERTO
1V11F623R,1,11,623R-623V,12,7,1580,SANTAFE,LUIS LOPEZ CARVAJAL,PODER
1V11F624R,1,11,624R,14,7,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F624V,1,11,624V-625R,15,7,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F625V,1,11,625V-626R,15,7,1580,SANTAFE,LUIS LOPEZ CARVAJAL,PODER
1V11F626V,1,11,626V-627R,15,7,1580,SANTAFE,LUIS LOPEZ CARVAJAL,PODER
1V11F627V,1,11,627V,16,7,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F628R,1,11,628R,18,7,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F628V,1,11,628V-629R,18,7,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F629V,1,11,629V,19,7,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F630R,1,11,630R-630V,19,7,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F631R,1,11,631R-631V,20,7,1580,SANTAFE,LUIS LOPEZ CARVAJAL,VENTA
1V11F632R,1,11,632R,19,7,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F632V,1,11,632V-633R,20,7,1580,SANTAFE,LUIS LOPEZ CARVAJAL,CONCIERTO
1V11F633V,1,11,633V,21,7,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F634R,1,11,634R,23,7,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ARRENDAMIENTO
1V11F635R,1,11,635R,23,7,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ASIENTO
1V11F635V,1,11,635V-636R,27,7,1580,SANTAFE,LUIS LOPEZ CARVAJAL,PODER
1V11F636V,1,11,636V,3,8,1580,SANTAFE,LUIS LOPEZ CARVAJAL,PODER
1V11F637R,1,11,637R,3,8,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ASIENTO
1V11F637V,1,11,637V-638R,8,8,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F638V,1,11,638V,8,8,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ASIENTO
1V11F639R,1,11,639R-639V,9,8,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F640R,1,11,640R-640V,11,8,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F641R,1,11,641R,13,8,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F641V,1,11,641V,16,8,1580,SANTAFE,LUIS LOPEZ CARVAJAL,PODER
1V11F642R,1,11,642R,12,8,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ASIENTO
1V11F642V,1,11,642V,12,8,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ASIENTO
1V11F643R,1,11,643R-643V,16,8,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F644R,1,11,644R-644V,16,8,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F645R,1,11,645R,16,8,1580,SANTAFE,LUIS LOPEZ CARVAJAL,PODER
1V11F645V,1,11,645V,17,8,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ASIENTO
1V11F646R,1,11,646R,20,8,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F646V,1,11,646V,20,8,1580,SANTAFE,LUIS LOPEZ CARVAJAL,PODER
1V11F647R,1,11,647R-648V,22,8,1580,SANTAFE,LUIS LOPEZ CARVAJAL,VENTA
1V11F649R,1,11,649R-649V,22,8,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F650R,1,11,650R,22,8,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ASIENTO
1V11F650V,1,11,650V,26,8,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ASIENTO
1V11F651R,1,11,651R,29,8,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ASIENTO
1V11F651V,1,11,651V,29,8,1580,SANTAFE,LUIS LOPEZ CARVAJAL,PODER
1V11F652R,1,11,652R-652V,26,8,1580,SANTAFE,LUIS LOPEZ CARVAJAL,VENTA
1V11F653R,1,11,653R-653V,26,8,1580,SANTAFE,LUIS LOPEZ CARVAJAL,PODER
1V11F654R,1,11,654R-654V,29,8,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F655R,1,11,655R-655V,30,8,1580,SANTAFE,LUIS LOPEZ CARVAJAL,PODER
1V11F656R,1,11,656R,30,8,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ASIENTO
1V11F656V,1,11,646V-657R,1,9,1580,SANTAFE,LUIS LOPEZ CARVAJAL,PODER
1V11F657V,1,11,657V,6,9,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ASIENTO
1V11F658R,1,11,658R,4,9,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ASIENTO
1V11F658V,1,11,658V-659R,17,9,1580,SANTAFE,LUIS LOPEZ CARVAJAL,PODER
1V11F660R,1,11,660R,15,9,1580,SANTAFE,LUIS LOPEZ CARVAJAL,PODER
1V11F660V,1,11,660V-661R,15,9,1580,SANTAFE,LUIS LOPEZ CARVAJAL,PODER
1V11F661V,1,11,661V,15,9,1580,SANTAFE,LUIS LOPEZ CARVAJAL,TRASPASO ARRENDAMIENTO
1V11F662R,1,11,662R,16,9,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F662V,1,11,662V-663R,16,9,1580,SANTAFE,LUIS LOPEZ CARVAJAL,CARTA DE PAGO
1V11F663R,1,11,663R-663V,22,9,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F665R,1,11,664R-665V,20,9,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ASIENTO
1V11F666R,1,11,666R-668V,17,9,1580,SANTAFE,LUIS LOPEZ CARVAJAL,TESTAMENTO
1V11F669R,1,11,669R,24,9,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F669V,1,11,669V,24,9,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ASIENTO
1V11F670R,1,11,670R,30,9,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ARRENDAMIENTO
1V11F670V,1,11,670V,3,10,1580,SANTAFE,LUIS LOPEZ CARVAJAL,PODER
1V11F671R,1,11,671R,3,10,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ARRENDAMIENTO
1V11F671V,1,11,671V-672R,8,10,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F672V,1,11,672V-673R,10,10,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F673V,1,11,673V,10,10,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F674R,1,11,674R,11,10,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ARRENDAMIENTO
1V11F674V,1,11,674V-675R,11,10,1580,SANTAFE,LUIS LOPEZ CARVAJAL,PODER
